age,firstAnimeAppearance,firstMangaAppearance,village,nameMeaning,notableFeatures,notableQuotes,rank,avatarSrc,description,name
19,Naruto Episode 21,Chapter 58,Rain Village,Rainy Season,,,Genin,https://narutoql.s3.amazonaws.com/Baiu.jpg,"A Genin from Hidden Rain, Baiu participates in the Chuunin Exam.",Baiu
34,Naruto Episode 39,Chapter 65,Sand Village,"Similar to ""bakki"" meaning aeration",,"""But a blade of the wind cannot be stopped by anyone.""",Jounin,https://narutoql.s3.amazonaws.com/Baki.jpg,"Baki acts as the Jounin master to Gaara of the Sand, Kankurou and Temari.",Baki
,Naruto Episode 17,Chapter 29,Leaf Village,,"Keen sense of smell, Member of Kakashi&apos;s Nin-Dog pack.",,,https://narutoql.s3.amazonaws.com/Bull.jpg,"A bull dog trained in the ninja arts, Bull is a personal summon of Hatake Kakashi. Unlike all the other members of Kakashi&apos;s nin-dog pack, Bull does not appear to have the ability to speak.",Buru (Bull)
,Shippuuden Episode 244,Chapter 494,Cloud Village,,,,Unknown,https://narutoql.s3.amazonaws.com/8Jin.jpg,Hidden Cloud ninja Blue B served as the host for the Hachibi Bijuu in the past.,Burubi (Blue B)
31,Shippuuden Episode 57,Chapter 314,,Chi=Earth; riku=land,Monk,,,https://narutoql.s3.amazonaws.com/Chiriku.jpg,"Chiriku is the head monk at the Fire Temple. This elite monastery is home to monks with special abilties. Chiriku was one of the elite 12 Guards ordered with protecting the Fire Country Daimyou. They are identified by the ""Fire"" character on their loincloths.",Chiriku
73,Shippuuden Episode 9,Chapter 252,Sand Village,"""Thousand Years"" or ""Forever""","Grandmother of Sasori, Retired at her old age but still spry, Former poison expert",I have been wanting to give my cute little grandson some love for quite some time now anyway...,Unknown (Potential Jounin),https://narutoql.s3.amazonaws.com/Chiyo.jpg,"""Chiyo-baasama"" as she is affectionately known, is a retired Hidden Sand ninja. She and her brother Ebizou served as the legendary ""sibling"" ninjas of their village. In one of the previous Great Ninja wars, Chiyo used her poison skills to affect many enemy ninjas. When her grandson Sasori left the village twenty years previously, she longed to see him again.",Chiyo
,Shippuuden Episode 199,Chapter 454,Mist Village,A type of pear,Carries dual swords.,,Unknown,https://narutoql.s3.amazonaws.com/Choujuurou.jpg,"Choujuurou was a ninja from Hidden Mist who became a Mist Seven Swordsman member. He attended the Five Kage summit with the Mizukage. He was chosen due to his strength. Though he was skilled, he lacked confidence in his abilities.",Choujuurou
,,Chapter 516,Mist Village,,,,Unknown (Probable Jounin),https://narutoql.s3.amazonaws.com/Chuukichi.jpg,"Chuukichi was highly regarded sensor ninja in Hidden Mist. At some point in the past, Chuukichi died.",Chuukichi
,,Chapter 488,,,,,,https://narutoql.s3.amazonaws.com/EarthLord.jpg,This Feudal Lord served as the ruler of the Earth Country.,Daimyou (Earth Country)
,,Chapter 450,,,,,,https://narutoql.s3.amazonaws.com/FireLord.jpg,"This Feudal Lord served as the ruler of the Fire Country. The Daimyou is charged with selecting the ninja who will become Hokage. After the Daimyou has made his selection, a council of Leaf Jounin will vote on the choice.",Daimyou (Fire Country)
,,Chapter 488,,,,,,https://narutoql.s3.amazonaws.com/LightningLord.jpg,This Feudal Lord served as the ruler of the Lightning Country.,Daimyou (Lightning Country)
,,Chapter 488,,,,,,https://narutoql.s3.amazonaws.com/WaterLord.jpg,This Feudal Lord served as the ruler of the Water Country.,Daimyou (Water Country)
,Naruto Episode 57,Chapter 95,,,,,,https://narutoql.s3.amazonaws.com/Daimyo.jpg,This Feudal Lord served as the ruler of the Wind Country.,Daimyou (Wind Country)
,Shippuuden Episode 199,Chapter 454,Cloud Village,"Sluggish, languid",,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Darui.jpg,Darui is a ninja in Hidden Cloud village. He attended the five Kage summit with the Raikage.,Darui
19,Shippuuden Episode 2,Chapter 247,Rock Village,"Potentially based on Japanese myth, Dei=Mud","Has a mouth on the palm of each hand, An artist at heart","""Art is a bang!""",Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Deidara.jpg,Deidara was a prodigy from Hidden Rock Village who fled the village and now serves as a member of the Akatsuki Organization.,Deidara
,Shippuuden Episode 121,Chapter 354,,,,,,https://narutoql.s3.amazonaws.com/Denka.jpg,"A cat trained in the ninja arts, Denka is the associate of Nekobaa. He and Hina greeted Uchiha Sasuke when he came to their compound looking for supplies.",Denka
,Shippuuden Episode 282,Chapter 541,Cloud Village,As kanji can mean document draft or foundation,,,Unknown (Probably Jounin),https://narutoql.s3.amazonaws.com/Dodai.jpg,Dodai is a ninja in Hidden Cloud village. He oversaw the selection of new candidates to become the next Hachibi Jinchuuriki. He also possesses the Kekkei Genkai for Youton.,Dodai
14,Naruto Episode 21,Chapter 35,Sound Village,"Dosu=Yakuza sword; Kinuta=A wooden block for beating cloth, also a location",Head totally bandaged except for left eye,"""I was thinking of defeating you... right here, right now.""",Genin,https://narutoql.s3.amazonaws.com/Dosu.jpg,Dosu Kinuta was one of the three Sound Genin who entered into the Chuunin Exam.,Dosu Kinuta
,Shippuuden Episode 127,Chapter 376,Leaf Village,,,,,https://narutoql.s3.amazonaws.com/PaToad.jpg,"Fukasaku was the husband of the ""Ma"" toad sage. Together they acted as assistants to the Elder toad sage.",Fukasaku
,,Chapter 420,Waterfall Village,,,,,https://narutoql.s3.amazonaws.com/ShichibiHost.jpg,Fuu was the host of the seven-tailed demon beetle.,Fuu
16,Naruto Episode 20,Chapter 35,Sand Village,"""Self-Loving"" ra=Kanji used in demons of myth","Kanji tattoo on forehead saying ""Love,"" Carries large gourd on his back","""Love only yourself, and fight only for yourself.""",Kazekage,https://narutoql.s3.amazonaws.com/Gaara.jpg,"A Genin from the village of Sand, Gaara is brooding boy whose serious and dark demeanor frightens those around him.",Gaara 
,Naruto Episode 1,Chapter 1,Leaf Village,"Gama=Toad, bunta=Actor name famous for Yakuza boss roles","Highest of toad summonings, Title of Toad Boss, Has the persona of a Yakuza lord.","""Tell you what kid, I&apos;ll recognize you as my underling and show you about the way of the family!""",,https://narutoql.s3.amazonaws.com/Gamabunta1.jpg,"A toad trained in the ninja arts, Gamabunta is a personal summon.",Gamabunta
,Shippuuden Episode 130,Chapter 374,Leaf Village,,Wields large fork and shield.,,,https://narutoql.s3.amazonaws.com/Gamaken.jpg,"A toad trained in the ninja arts, Gamaken is a personal summon.",Gamaken
,Naruto Episode 77,Chapter 131,Leaf Village,Gama=Toad; kichi=Perception or tact,Son of Gamabunta.,"""If you want to do something, give me a snack. Otherwise, I don&apos;t want to play with you.""",,https://narutoql.s3.amazonaws.com/Gamakichi.jpg,"A toad trained in the ninja arts, Gamakichi is a personal summon and the son of Gamabunta.",Gamakichi
,Naruto Episode 94,Chapter 166,Leaf Village,Gama=Toad; tatsu=Dragon or a promoted rook in Shougi,"Son of Gamabunta, Not much battle experience, Very naive.","""What, I can have a snack!? Yay, yay!""",,https://narutoql.s3.amazonaws.com/Gamatatsu.jpg,"A toad trained in the ninja arts, Gamatatsu is a personal summon and the son of Gamabunta.",Gamatatsu
,,Chapter 515,Rock Village,"Pickled ginger, gully",,,Unknown (Probable Jounin),https://narutoql.s3.amazonaws.com/Gari.jpg,"Gari was a member of the Iwagakure Blast Corps, which was manned by members of the Bakuton using clan which also included Deidara. At some point in the past, Gari died.",Gari
,Naruto Episode 86,Chapter 150,Rock Village,Containing iron,,"""I&apos;ll show you what pain really is!!""",Chuunin (Missing-Nin),https://narutoql.s3.amazonaws.com/Akoki.jpg,"A former Chuunin from Hidden Rock, Gantetsu came to the Fire Country to seek a more luxurious life.",Gantetsu
48,Naruto Episode 7,Chapter 11,,French for cake,"A short man, he has two personal samurai bodyguards.","""Heh, you&apos;re just a cute little baby devil.""",,https://narutoql.s3.amazonaws.com/Gato.jpg,This man ran a shipping company in the Wave Country. He sought to control the shipping and commerce lanes through force and violence.,Gato
23,Naruto Episode 37,Chapter 65,Leaf Village,Gekkou=Moonlight; Hayate=As kanji means squall or gale,Constantly seen coughing.,,Special Jounin,https://narutoql.s3.amazonaws.com/Hayate.jpg,This Chuunin Exam examiner presided over the third round preliminary matches.,Gekkou Hayate
17,Naruto Episode 118,Chapter 199,Sound Village,,,,Unknown,https://narutoql.s3.amazonaws.com/SoundNin2.jpg,Genyuumaru served under the command of Orochimaru.,Genyuumaru
,Shippuuden Episode 130,Chapter 370,Leaf Village,Gero=Sound of a toad; tora=Sign of the tiger,Maintains the key scroll for Naruto&apos;s Kyuubi seal.,,,https://narutoql.s3.amazonaws.com/Gerotora.jpg,Gerotora maintains the scroll key to the Hakke Fuuin seal on Naruto&apos;s stomach.,Gerotora
,,Chapter 525,Cloud Village,Gin=Silver kaku=horn,,,Unknown (Probable Jounin),https://narutoql.s3.amazonaws.com/Ginkaku.jpg,"Ginkaku was a legendary shinobi in Hidden Cloud, partnered with his brother Kinkaku the duo formed Kingin Kyoudai, the Gold and Silver Brothers. The two brothers wielded four of the five Hougu (Treasured Tools) which once belonged to the Rikudou Sennin, which were said to kill any normal humans who attempted to use them.",Ginkaku
,Shippuuden Episode 165,Second Artbook,Rock Village,,,,,https://narutoql.s3.amazonaws.com/Gobi.jpg,"Gobi is one of the ""bijuu"", a tailed beast of the ancient world. The Gobi was housed inside a Rock Village ninja named Han.",Gobi (Five-Tailed Demon)
25,Naruto Episode 6,Chapter 9,Mist Village,,"Wears breath mask and large metal claw on his hand, half of Oni (Demon) Brothers team",,Chuunin (Missing-Nin),https://narutoql.s3.amazonaws.com/Gouzu.jpg,"This missing-nin fled Hidden Mist with the missing-nin Momochi Zabuza. He is the elder of the twin Demon Brothers, and wears his poisoned claws on his right arm.",Gouzu
,Shippuuden Episode 143,Chapter 408,Cloud Village,,,,,https://narutoql.s3.amazonaws.com/Hachibi2.jpg,"The eight-tailed demon is presently free and at large. It is sealed within a Jinchuuriki from Hidden Cloud named Killer Bee. The beast takes the form of an Ushi-Oni, a creature containing features of both an ox and cephalopod.",Hachibi (Eight-Tailed Demon)
28,Naruto Episode 21,Chapter 36,Leaf Village,,Chuunin Examiner,,Chuunin,https://narutoql.s3.amazonaws.com/Kotetsu.jpg,Kotetsu helped preside over the Chuunin Exam. He and the other general examiners were elite Chuunin.,Hagane Kotetsu
15,Naruto Episode 9,Chapter 15,Mist Village,,"Wears a Hunter-Nin mask, Feminine Appearance","""When a person has something precious to protect, that&apos;s when they can become truly strong.""",Unknown (Genin/Chuunin Level Skill),https://narutoql.s3.amazonaws.com/Haku.jpg,"A Hunter-Nin from Hidden Mist village, known for his bloodline ability to manipulate the Water and Wind elements to form Hyouton, the Ice element.",Haku 
,,Chapter 420,Rock Village,,,,,https://narutoql.s3.amazonaws.com/GobiHost.jpg,"Han was the host of the five-tailed demon whale-horse. He uses a special armor powered by steam, which allows him to use steam-based jutsu.",Han
,Shippuuden Episode 128,Chapter 369,Rain Village,,"Also known as ""Sanshouuo no Hanzou"" (Hanzou the Salamander), Battles alongside giant salamander",,Village Leader,https://narutoql.s3.amazonaws.com/Hanzou.jpg,Hanzou was the leader of Hidden Rain Village. His face mask allowed him to breath and excel at underwater combat.,Hanzou
16,Naruto Episode 1,Chapter 3,Leaf Village,,"In love with Uchiha Sasuke, Excellent Student, Knack for Genjutsu","""Everyone, this time, get a good look at my back.""",Chuunin - Team 7,https://narutoql.s3.amazonaws.com/Sakura.jpg,"A Genin from the village of Konoha, Sakura is a teammate of Uzumaki Naruto. Though Naruto has a crush on her, she does not return the feelings. She instead focuses all her attention on Uchiha Sasuke. But like Naruto to her, Sasuke finds Sakura more annoying than anything.",Haruno Sakura 
30,Naruto Episode 3,Chapter 3,Leaf Village,,"Chronically late for meetings, Hides left eye under his forehead protector","""Sorry I&apos;m late, I got lost on the road of life.""",Jounin,https://narutoql.s3.amazonaws.com/Kakashi2.jpg,"A Jounin master, he is the leader of Team 7 (Uzumaki Naruto, Uchiha Sasuke, Haruno Sakura). Although he appears aloof and disinterested, Kakashi is a highly skilled ninja known for the ability to utilize over a thousand jutsu.",Hatake Kakashi 
,Shippuuden Episode 159,Chapter 425,Leaf Village,,"Known as the ""White Fang of Konoha""",,Jounin,https://narutoql.s3.amazonaws.com/Sakumo.jpg,"Hatake Sakumo is the father of Kakashi and he served as a ninja in Hidden Leaf. Nicknamed the White Fang of Konoha, Sakumo was respected on the same level as the Legendary Sannin. Sakumo passed down a short tanto to his son. When Kakashi and Sakumo use the tanto, a white chakra will pour forth from the blade and their body.",Hatake Sakumo
22,Shippuuden Episode 71,Chapter 312,Hot Springs Village,"Hi=fly, skip pages, scatter or Shougi Rook, dan=grade, steps or stairs",Wields large three-bladed scythe.,,Unknown (High Jounin Level),https://narutoql.s3.amazonaws.com/Hidan.jpg,"Akatsuki member Hidan partners with Kakuzu. Hidan is from Hot Springs Village. Hot Springs was a peaceful village which was disagreeable with Hidan&apos;s violent ways. He turned against his comrades and found direction in Jashin, a bloody and ritualistic cult which performed their Kinjutsu on him. This dark technique allow Hidan to live through brutal wounds, in exchange for his killing of others and performing rituals upon victory.",Hidan
,Shippuuden Episode 121,Chapter 354,,,,,,https://narutoql.s3.amazonaws.com/Hina.jpg,"A cat trained in the ninja arts, Hina is the associate of Nekobaa. She and Denka greeted Uchiha Sasuke when he came to their compound looking for supplies.",Hina
,Naruto Episode 69,Chapter 118,Leaf Village,,"Older brother of Nidaime Hokage, Has calm and collected mind",,Kage,https://narutoql.s3.amazonaws.com/1st.jpg,"The First Hokage, born Senju Hashirama, helped found the village of Leaf with the help of his younger brother the Second Hokage.",Senju Hashirama
,Naruto Episode 69,Chapter 118,Leaf Village,,"Younger brother of Shodai Hokage, Uses Suiton techniques (though they may just be one facet of his jutsu arsenal)",,Kage,https://narutoql.s3.amazonaws.com/2nd.jpg,"The Second Hokage, born Senju Tobirama, helped found the village of Leaf with the help of his older brother the First Hokage. After the death of his brother he inherited the Hokage title and developed the infrastructure of the village.",Senju Tobirama
69,Naruto Episode 1,Chapter 1,Leaf Village,,"Nick-named ""The Professor"" for knowing thousands of jutsu","When they are protecting something important, that&apos;s when a shinobi&apos;s true strength appears...",Kage,https://narutoql.s3.amazonaws.com/guide/hokage.jpg,"The Third Hokage, born Sarutobi Hiruzen, became Hokage again after the Fourth Hokage sacrificed his life to imprison the Kyuubi demon.",Sarutobi Hiruzen
,Naruto Episode 1,Chapter 1,Leaf Village,,"Nicknamed ""Konoha&apos;s Yellow Flash""",,Kage,https://narutoql.s3.amazonaws.com/4th.jpg,"The Fourth Hokage, born Namikaze Minato, sacrificed his life to seal the Kyuubi demon inside Naruto.",Namikaze Minato
,,Chapter 522,Mist Village,"Hou=Ground cherry, Chinese lantern plant, Zuki=Lamp, counter for lights; Mangetsu=Full Moon",,,Unknown (Probable Jounin),https://narutoql.s3.amazonaws.com/Mangetsu.jpg,"Hoozuki Mangetsu was the older brother of Suigetsu and a member Mist Seven Swordsmen. Like his brother, he also used Suika no Jutsu to transform his body into water. He was known as the Second Coming of Zabuza and was able to master all seven swords wielded by the group. At some point in the past he died and his younger brother Suigetsu sought to follow in his footsteps.",Hoozuki Mangetsu
16,Shippuuden Episode 115,Chapter 346,Mist Village,"Hou=Ground cherry, Chinese lantern plant, Zuki=Lamp, counter for lights; Sui=Water, Getsu=Moon",,,Unknown,https://narutoql.s3.amazonaws.com/Suigetsu.jpg,Hoozuki Suigetsu was a ninja from Hidden Mist who one day dreamed of becoming a Mist Seven Swordsman member. He trained underneath the group but was prevented from achieving his dream. Suigetsu was the younger brother of Mangetsu who was also known to the group. At some point he became a captive of Orochimaru.,Hoozuki Suigetsu
32,Naruto Episode 80,Chapter 139,Mist Village,,"Current member of the Akatsuki Organization, Former Mist Seven member, Wields large head-cleaving sword, S-Ranked criminal, Pale shark-colored eyes and skin, Has slits resembling gills located on each cheek, Has huge amount of chakra",,Jounin (Missing-Nin),https://narutoql.s3.amazonaws.com/Kisame.jpg,"A powerful missing-nin from Hidden Mist, Hoshigaki Kisame wields a large head-cleaving sword.",Hoshigaki Kisame
7,Naruto Episode 46,Chapter 78,Leaf Village,,,,,https://narutoql.s3.amazonaws.com/Hanabi.jpg,Hyuuga Hanabi is the younger sister of Hinata.,Hyuuga Hanabi
42,Naruto Episode 46,Chapter 78,Leaf Village,,"Head of main Hyuuga Family, Hyuuga Hizashi&apos;s twin",,Jounin,https://narutoql.s3.amazonaws.com/Hiashi.jpg,"A Jounin from Leaf Village, Hyuuga Hiashi is the head of the main Hyuuga family and the father of Hyuuga Hinata and Hanabi.",Hyuuga Hiashi
16,Naruto Episode 1,Chapter 34,Leaf Village,,"Shy & timid, Has a secret crush on Naruto","""Naruto-kun!"" *blushes*",Chuunin - Team 8,https://narutoql.s3.amazonaws.com/Hinata.jpg,"A Genin from the village of Konoha, Hyuuga Hinata is the heir to the main family of the Hyuuga Clan line.",Hyuuga Hinata 
32,Naruto Episode 61,Chapter 102,Leaf Village,,Hyuuga Hiashi&apos;s twin,,Jounin,https://narutoql.s3.amazonaws.com/Hizashi.jpg,"A Jounin from Leaf Village, Hyuuga Hizashi was the father of Hyuuga Neji. He died approximately nine years before the series start.",Hyuuga Hizashi
17,Naruto Episode 21,Chapter 36,Leaf Village,,"Cousin of Hyuuga Hinata, Tends to act better than everyone else","""A loser, is always a loser.""",Jounin,https://narutoql.s3.amazonaws.com/Neji.jpg,"A Genin from the village of Konoha, Neji is the heir to the Branch family of the Hyuuga clan. This clan is known for its ability to use the Byakugan, a unique eye ability that lets the user view the internal chakra highway of his or her opponent.",Hyuuga Neji 
8,Naruto Episode 10,Chapter 16,,"A fox deity, also a flavored boiled rice",,,,https://narutoql.s3.amazonaws.com/Inari.jpg,Inari is the grandson of the bridge builder Tazuna.,Inari
18,Naruto Episode 79,Chapter 137,Leaf Village,"Inu=Dog zuka=A small hill, Hana=Flower, nose or end",Veterinarian,,Chuunin,https://narutoql.s3.amazonaws.com/Hana.jpg,"Inuzuka Hana is the sister of Inuzuka Kiba. She serves as a vet, taking care of Konoha&apos;s animals at the hospital.",Inuzuka Hana
16,Naruto Episode 1,Chapter 34,Leaf Village,"Inu=Dog zuka=A small hill, Kiba=""Fang""","Animal familiar named Akamaru, Keen sense of smell.",,Chuunin - Team 8,https://narutoql.s3.amazonaws.com/Clan.jpg,"A Genin from the village of Konoha, Inuzuka Kiba hails from the Inuzuka Clan, known for their canine familiars and canine like senses.",Inuzuka Kiba 
,Naruto Episode 79,Chapter 137,Leaf Village,"Inu=Dog zuka=A small hill, Tsume=""Claw"" or ""Talon"", also a name",,,Special Jounin,https://narutoql.s3.amazonaws.com/Inuzuka2.jpg,Inuzuka Tsume is the mother of Inuzuka Kiba.,Inuzuka Tsume
,Shippuuden Episode 143,Chapter 414,Cloud Village,,,,Unknown (Probable Chuunin),https://narutoql.s3.amazonaws.com/Jay.jpg,"Jay is a ninja from Cloud Village. While Jay and his comrade were out in the country, they heard a nearby disturbance. Rushing to the scene they saw Killer Bee, the Hachibi Jinchuuriki, engaged in combat with Akatsuki.",Jay (Jei)
54,Naruto Episode 52,Chapter 90,Leaf Village,"""Young thunder"", A lead character in Japanese folk tale, married to ""Tsunade""","Legendary Sannin, Summons toads, Huge pervert.","""I&apos;m not just a pervert, I&apos;m a super pervert!""",Potential Jounin (Kage Level Skill),https://narutoql.s3.amazonaws.com/Jiraiya.jpg,"One of the Legendary Sannin, Jiraiya left Konoha to devote his time to doing research for his line of adult books. He has a blood contract with toads and calls upon them as needed.",Jiraiya 
14,Naruto Episode 68,Chapter 115,Sound Village,"Next or second son, bou=can mean priest","One of the Four Sounds, Personal warrior of Orochimaru, Chastises Tayuya when she uses filthy language",,Unknown (Potential Chuunin),https://narutoql.s3.amazonaws.com/Jiroubou.jpg,"One of the Four Sounds, who specialize in the formation of barriers.",Jiroubou
,,Chapter 467,,Juubi=Ten Tail,,,,https://narutoql.s3.amazonaws.com/Juubi.jpg,"The Juubi was a being of incredible power. Seeking to stop its destruction, the Rikudou Sennin sealed the beast&apos;s power within his own body.",Juubi (Ten-Tailed Demon)
18,Shippuuden Episode 116,Chapter 348,Sound Village,"A name, Juu=Heavy, pile up go=I, my, our",,,Unknown,https://narutoql.s3.amazonaws.com/Juugo.jpg,Juugo sought out Orochimaru in the past. Orochimaru imprisoned Juugo and performed experimentation on him.,Juugo
17,Naruto Episode 36,Chapter 60,Rain Village,Probably short for Kagaribi (a bonfire),,,Genin,https://narutoql.s3.amazonaws.com/Kagari.jpg,"A Genin from Hidden Rain, Kagari participates in the Chuunin Exam.",Kagari
15,Naruto Episode 118,Chapter 199,Sound Village,"Kaguya=Furniture Store, A name; Kimi=you, governing person maro=You, one with thin eyebrows, ma=Hemp, ro=Spine",Has cursed seal mark on his chest.,,Unknown (Potential Jounin),https://narutoql.s3.amazonaws.com/Kimimaro.jpg,Kimimaro is a Sound ninja who has fully devoted himself to Orochimaru.,(Kaguya) Kimimaro
30,Naruto Episode 11,Chapter 20,,Kai=Sea or ocean,,"For something that is precious to you, no matter how tough, no matter how sad, you must try and try... and even if you lose your life protect it with these two arms.""",,https://narutoql.s3.amazonaws.com/Kaiza.jpg,Kaiza was a fisherman who came to the Wave Country seeking better opportunities,Kaiza
,Shippuuden Episode 119,Chapter 241,Rock Village,"Form, appearance and a bishop in shogi",,,Jounin,https://narutoql.s3.amazonaws.com/Stone2.jpg,"Approximately 13 years before the start of the Naruto series, Kakkou served as a ninja for Hidden Rock.",Kakkou
91,Shippuuden Episode 71,Chapter 312,Waterfall Village,Kaku=Angle or Shogi bishop zu=Metropolis or capital,Body contains mysterious black tendrils.,,Unknown (High Jounin Level),https://narutoql.s3.amazonaws.com/Kakuzu.jpg,"Akatsuki member Kakuzu partners with Hidan. Kakuzu is very focused on money, using bounty hunting to help ensure his desires are met. His bounty hunting side-trips always delay he and his partner&apos;s missions, much to Hidan&apos;s annoyance.",Kakuzu
,Naruto Episode 125,Chapter 214,Sand Village,"Kama=Sickle, scythe tari=Leg or foot",,,,https://narutoql.s3.amazonaws.com/TemariSummon.jpg,"Kamatari is the personal summon of the Sand kunoichi Temari. A weasel, Kamatari will bring along scythes to help him cut swaths of destruction.",Kamatari
28,Naruto Episode 21,Chapter 36,Leaf Village,Kami=God or soul zuki=Month or moon; Izumo=A name zumo=Can mean cloud,Chuunin Examiner,,Chuunin,https://narutoql.s3.amazonaws.com/Izumo.jpg,Izumo helped preside over the Chuunin Exam. He and the other general examiners were elite Chuunin.,Kamizuki Izumo
18,Naruto Episode 20,Chapter 35,Sand Village,"A famous kabuki player, kurou=crow",Carries mysterious large package on his back,,Jounin,https://narutoql.s3.amazonaws.com/Kankurou3.jpg,"A Genin from the village of Sand, Kankurou is the brother of Gaara and Temari. All three siblings participate in the Chuunin Exam.",Kankurou 
16,Shippuuden Episode 115,Chapter 347,Sound Village,"Ka=incense, smell, perfume rin=phosphorus",,,Unknown,https://narutoql.s3.amazonaws.com/Karin.jpg,Karin was a kunoichi charged with running Orochimaru&apos;s southern base.,Karin
,Shippuuden Episode 156,Chapter 417,Cloud Village,"Light, agile, unimportant, small, soft",,,Unknown (Probable Jounin),https://narutoql.s3.amazonaws.com/Karui.jpg,"Karui is a kunoichi from Cloud Village. She constantly deals with the teasing of her teammate Omoi, and tends to take it out on him when it goes too far. She and her team are trusted ninja under the Raikage, being sent on many varied kinds of missions. Both she and Omoi were trained under Killer Bee, one of the Cloud Jinchuuriki.",Karui
,Naruto Episode 58,Chapter 129,Sand Village,A man-bird deity in Hindu-Buddhist myth,,,,https://narutoql.s3.amazonaws.com/GaarasMother.jpg,"Though Gaara&apos;s mother died shortly after he was born, her influence on Gaara had a large affect on the world.",Karura
27,Naruto Episode 91,Chapter 160,Leaf Village,"A name, failure, group, steps, platform",,,Jounin,https://narutoql.s3.amazonaws.com/Dan.jpg,Katou Dan served as a Leaf Village Ninja in the past.,Katou Dan
,Naruto Episode 95,Chapter 169,Leaf Village,A slippery oil,"Highest of slug summons, Polite demeanor",,,https://narutoql.s3.amazonaws.com/Katsuya.jpg,"A slug trained in the ninja arts, Katsuyu is the highest of the slug summons.",Katsuyu
